[06:47:09]	✅ SERVER  ON

[06:47:21]		NEW CLIENT

[14:19:49]			5	hello	PING server 

[14:20:19]			4	lleciak	PING server 

[14:20:50]			5	hello	PING server 

[14:21:20]			4	lleciak	PING server 

[14:21:51]			5	hello	PING server 

[14:22:21]			4	lleciak	PING server 

[14:22:52]			5	hello	PING server 

[14:23:22]			4	lleciak	PING server 

[14:23:53]			5	hello	PING server 

[14:24:23]			4	lleciak	PING server 

[14:24:52]			5	hello	WHOIS lleciak 

[14:24:53]			5	hello	WHOIS lleciak 

[14:24:55]			5	hello	WHOIS lleciak 

[14:24:56]			5	hello	WHOIS lleciak 

[14:25:01]			5	hello	PING server 

[14:25:24]			4	lleciak	PING server 

[14:26:02]			5	hello	PING server 

[14:26:25]			4	lleciak	PING server 

[14:27:03]			5	hello	PING server 

[14:27:26]			4	lleciak	PING server 

[14:28:04]			5	hello	PING server 

[14:28:27]			4	lleciak	PING server 

[14:29:05]			5	hello	PING server 

[14:29:28]			4	lleciak	PING server 

[14:29:38]			4	lleciak	QUIT :Lost terminal 

[14:29:38]			5	hello	QUIT :Lost terminal 

[06:51:47]	✅ SERVER  ON

[06:52:01]		NEW CLIENT

[06:52:01]			4	default	CAP LS 

[06:52:01]			4	default	NICK lleciak 

[06:52:01]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[06:52:01]			4	lleciak	MODE lleciak +i 

[06:52:04]			4	lleciak	PING server 

[06:52:14]			4	lleciak	WHOIS lleciak 

[06:53:05]			4	lleciak	PING server 

[06:53:20]		REMOVED CLIENT

[06:53:20]	✖️ SERVER  OFF

[06:53:24]	✅ SERVER  ON

[06:53:25]		NEW CLIENT

[06:53:25]			4	default	CAP LS 

[06:53:25]			4	default	NICK lleciak 

[06:53:25]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[06:53:25]			4	lleciak	MODE lleciak +i 

[06:53:28]			4	lleciak	PING server 

[06:53:58]		REMOVED CLIENT

[06:53:58]	✖️ SERVER  OFF

[06:54:16]	✅ SERVER  ON

[06:54:17]		NEW CLIENT

[06:54:17]			4	default	CAP LS 

[06:54:17]			4	default	NICK lleciak 

[06:54:17]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[06:54:17]			4	lleciak	MODE lleciak +i 

[06:54:20]			4	lleciak	PING server 

[06:55:14]			4	lleciak	WHOIS lleciak 

[06:55:21]			4	lleciak	PING server 

[06:55:58]		REMOVED CLIENT

[06:55:58]	✖️ SERVER  OFF

[06:56:57]	✅ SERVER  ON

[06:57:01]		NEW CLIENT

[06:57:01]			4	default	CAP LS 

[06:57:01]			4	default	NICK lleciak 

[06:57:01]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[06:57:01]			4	lleciak	MODE lleciak +i 

[06:57:04]			4	lleciak	PING server 

[06:57:11]			4	lleciak	WHOIS lleciak 

[06:57:13]			4	lleciak	WHOIS lleciak 

[06:57:15]			4	lleciak	WHOIS lleciak 

[06:58:05]			4	lleciak	PING server 

[06:58:25]		NEW CLIENT

[06:58:25]			5	default	CAP LS 

[06:58:25]			5	default	NICK lleciak 

[06:58:25]			5	lleciak_	USER lleciak lleciak localhost :Louise Leciak 

[06:58:25]			5	lleciak_	MODE lleciak_ +i 

[06:58:25]			5	lleciak_	WHOIS lleciak 

[06:58:29]			5	lleciak_	PING server 

[06:59:04]		NEW CLIENT

[06:59:04]			6	default	CAP LS 

[06:59:04]			6	default	NICK lleciak 

[06:59:04]			6	lleciak__	USER lleciak lleciak localhost :Louise Leciak 

[06:59:04]			6	lleciak__	MODE lleciak__ +i 

[06:59:04]			6	lleciak__	WHOIS lleciak 

[06:59:06]			4	lleciak	PING server 

[06:59:08]			6	lleciak__	PING server 

[06:59:08]		NEW CLIENT

[06:59:08]			7	default	CAP LS 

[06:59:08]			7	default	NICK lleciak 

[06:59:08]			7	lleciak___	USER lleciak lleciak localhost :Louise Leciak 

[06:59:08]			7	lleciak___	MODE lleciak___ +i 

[06:59:08]			7	lleciak___	WHOIS lleciak 

[06:59:12]			7	lleciak___	PING server 

[06:59:17]		NEW CLIENT

[06:59:17]			8	default	CAP LS 

[06:59:17]			8	default	NICK lleciak 

[06:59:17]			8	lleciak____	USER lleciak lleciak localhost :Louise Leciak 

[06:59:17]			8	lleciak____	MODE lleciak____ +i 

[06:59:17]			8	lleciak____	WHOIS lleciak 

[06:59:21]			8	lleciak____	PING server 

[06:59:30]			5	lleciak_	PING server 

[07:00:07]			4	lleciak	PING server 

[07:00:09]			6	lleciak__	PING server 

[07:00:13]			7	lleciak___	PING server 

[07:00:22]			8	lleciak____	PING server 

[07:00:31]			5	lleciak_	PING server 

[07:01:08]			4	lleciak	PING server 

[07:01:10]			6	lleciak__	PING server 

[07:01:14]			7	lleciak___	PING server 

[07:01:23]			8	lleciak____	PING server 

[07:01:32]			5	lleciak_	PING server 

[07:02:09]			4	lleciak	PING server 

[07:02:11]			6	lleciak__	PING server 

[07:02:15]			7	lleciak___	PING server 

[07:02:24]			8	lleciak____	PING server 

[07:02:33]			5	lleciak_	PING server 

[07:03:10]			4	lleciak	PING server 

[07:03:12]			6	lleciak__	PING server 

[07:03:16]			7	lleciak___	PING server 

[07:03:25]			8	lleciak____	PING server 

[07:03:34]			5	lleciak_	PING server 

[07:04:11]			4	lleciak	PING server 

[07:04:13]			6	lleciak__	PING server 

[07:04:17]			7	lleciak___	PING server 

[07:04:26]			8	lleciak____	PING server 

[07:04:35]			5	lleciak_	PING server 

[07:05:12]			4	lleciak	PING server 

[07:05:14]			6	lleciak__	PING server 

[07:05:18]			7	lleciak___	PING server 

[07:05:27]			8	lleciak____	PING server 

[07:05:36]			5	lleciak_	PING server 

[07:06:13]			4	lleciak	PING server 

[07:06:15]			6	lleciak__	PING server 

[07:06:19]			7	lleciak___	PING server 

[07:06:28]			8	lleciak____	PING server 

[07:06:37]			5	lleciak_	PING server 

[07:07:14]			4	lleciak	PING server 

[07:07:16]			6	lleciak__	PING server 

[07:07:20]			7	lleciak___	PING server 

[07:07:29]			8	lleciak____	PING server 

[07:07:38]			5	lleciak_	PING server 

[07:08:15]			4	lleciak	PING server 

[07:08:17]			6	lleciak__	PING server 

[07:08:21]			7	lleciak___	PING server 

[07:08:30]			8	lleciak____	PING server 

[07:08:39]			5	lleciak_	PING server 

[07:09:16]			4	lleciak	PING server 

[07:09:18]			6	lleciak__	PING server 

[07:09:22]			7	lleciak___	PING server 

[07:09:31]			8	lleciak____	PING server 

[07:09:40]			5	lleciak_	PING server 

[07:10:17]			4	lleciak	PING server 

[07:10:19]			6	lleciak__	PING server 

[07:10:23]			7	lleciak___	PING server 

[07:10:32]			8	lleciak____	PING server 

[07:10:41]			5	lleciak_	PING server 

[07:11:18]			4	lleciak	PING server 

[07:11:20]			6	lleciak__	PING server 

[07:11:24]			7	lleciak___	PING server 

[07:11:33]			8	lleciak____	PING server 

[07:11:42]			5	lleciak_	PING server 

[07:12:19]			4	lleciak	PING server 

[07:12:21]			6	lleciak__	PING server 

[07:12:25]			7	lleciak___	PING server 

[07:12:34]			8	lleciak____	PING server 

[07:12:43]			5	lleciak_	PING server 

[07:13:20]			4	lleciak	PING server 

[07:13:22]			6	lleciak__	PING server 

[07:13:26]			7	lleciak___	PING server 

[07:13:35]			8	lleciak____	PING server 

[07:13:44]			5	lleciak_	PING server 

[11:37:49]	✅ SERVER  ON

[11:37:53]		NEW CLIENT

[11:37:53]			4	default	CAP LS 

[11:37:53]			4	default	NICK lleciak 

[11:37:53]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[11:37:53]			4	lleciak	MODE lleciak +i 

[11:37:55]			4	lleciak	PING server 

[11:38:10]			4	lleciak	WHO lleciak 

[11:38:56]			4	lleciak	PING server 

[11:39:57]			4	lleciak	PING server 

[11:40:58]			4	lleciak	PING server 

[11:41:59]			4	lleciak	PING server 

[11:42:11]		NEW CLIENT

[11:42:11]			5	default	CAP LS 

[11:42:11]			5	default	NICK lleciak 

[11:42:11]			5	lleciak_	USER lleciak lleciak localhost :Louise Leciak 

[11:42:11]			5	lleciak_	MODE lleciak_ +i 

[11:42:11]			5	lleciak_	WHOIS lleciak 

[11:42:15]			5	lleciak_	PING server 

[11:42:21]		NEW CLIENT

[11:42:21]			6	default	CAP LS 

[11:42:21]			6	default	NICK lleciak 

[11:42:21]			6	lleciak__	USER lleciak lleciak localhost :Louise Leciak 

[11:42:21]			6	lleciak__	MODE lleciak__ +i 

[11:42:21]			6	lleciak__	WHOIS lleciak 

[11:42:25]			6	lleciak__	PING server 

[11:43:00]			4	lleciak	PING server 

[11:43:16]			5	lleciak_	PING server 

[11:43:26]			6	lleciak__	PING server 

[11:44:01]			4	lleciak	PING server 

[11:44:17]			5	lleciak_	PING server 

[11:44:27]			6	lleciak__	PING server 

[11:45:02]			4	lleciak	PING server 

[11:45:18]			5	lleciak_	PING server 

[11:45:28]			6	lleciak__	PING server 

[11:46:03]			4	lleciak	PING server 

[11:46:19]			5	lleciak_	PING server 

[11:46:29]			6	lleciak__	PING server 

[11:47:04]			4	lleciak	PING server 

[11:47:20]			5	lleciak_	PING server 

[11:47:30]			6	lleciak__	PING server 

[11:48:05]			4	lleciak	PING server 

[11:48:21]			5	lleciak_	PING server 

[11:48:31]			6	lleciak__	PING server 

[11:49:06]			4	lleciak	PING server 

[11:49:22]			5	lleciak_	PING server 

[11:49:32]			6	lleciak__	PING server 

[11:50:07]			4	lleciak	PING server 

[11:50:23]			5	lleciak_	PING server 

[11:50:33]			6	lleciak__	PING server 

[11:51:08]			4	lleciak	PING server 

[11:51:24]			5	lleciak_	PING server 

[11:51:34]			6	lleciak__	PING server 

[11:52:09]			4	lleciak	PING server 

[11:52:25]			5	lleciak_	PING server 

[11:52:35]			6	lleciak__	PING server 

[11:53:10]			4	lleciak	PING server 

[11:53:26]			5	lleciak_	PING server 

[11:53:36]			6	lleciak__	PING server 

[11:54:11]			4	lleciak	PING server 

[11:54:27]			5	lleciak_	PING server 

[11:54:37]			6	lleciak__	PING server 

[11:55:12]			4	lleciak	PING server 

[11:55:28]			5	lleciak_	PING server 

[11:55:38]			6	lleciak__	PING server 

[11:56:13]			4	lleciak	PING server 

[11:56:29]			5	lleciak_	PING server 

[11:56:39]			6	lleciak__	PING server 

[11:57:14]			4	lleciak	PING server 

[11:57:30]			5	lleciak_	PING server 

[11:57:40]			6	lleciak__	PING server 

[11:58:15]			4	lleciak	PING server 

[11:58:31]			5	lleciak_	PING server 

[11:58:41]			6	lleciak__	PING server 

[11:59:16]			4	lleciak	PING server 

[11:59:32]			5	lleciak_	PING server 

[11:59:42]			6	lleciak__	PING server 

[12:00:17]			4	lleciak	PING server 

[12:00:33]			5	lleciak_	PING server 

[12:00:43]			6	lleciak__	PING server 

[12:01:18]			4	lleciak	PING server 

[12:01:34]			5	lleciak_	PING server 

[12:01:44]			6	lleciak__	PING server 

[12:02:19]			4	lleciak	PING server 

[12:02:35]			5	lleciak_	PING server 

[12:02:45]			6	lleciak__	PING server 

[12:03:20]			4	lleciak	PING server 

[12:03:36]			5	lleciak_	PING server 

[12:03:46]			6	lleciak__	PING server 

[12:04:21]			4	lleciak	PING server 

[12:04:37]			5	lleciak_	PING server 

[12:04:47]			6	lleciak__	PING server 

[12:05:22]			4	lleciak	PING server 

[12:05:38]			5	lleciak_	PING server 

[12:05:48]			6	lleciak__	PING server 

[12:06:23]			4	lleciak	PING server 

[12:06:39]			5	lleciak_	PING server 

[12:06:49]			6	lleciak__	PING server 

[12:07:24]			4	lleciak	PING server 

[12:07:40]			5	lleciak_	PING server 

[12:07:50]			6	lleciak__	PING server 

[12:08:25]			4	lleciak	PING server 

[12:08:41]			5	lleciak_	PING server 

[12:08:51]			6	lleciak__	PING server 

[12:09:26]			4	lleciak	PING server 

[12:09:42]			5	lleciak_	PING server 

[12:09:52]			6	lleciak__	PING server 

[12:10:27]			4	lleciak	PING server 

[12:10:43]			5	lleciak_	PING server 

[12:10:53]			6	lleciak__	PING server 

[12:11:28]			4	lleciak	PING server 

[12:11:44]			5	lleciak_	PING server 

[12:11:54]			6	lleciak__	PING server 

[12:12:29]			4	lleciak	PING server 

[12:12:45]			5	lleciak_	PING server 

[12:12:55]			6	lleciak__	PING server 

[12:13:30]			4	lleciak	PING server 

[12:13:46]			5	lleciak_	PING server 

[12:13:56]			6	lleciak__	PING server 

